english_speaker,vowel,f1,f2,f3,duration,df1_off,df2_off,df3_off,df1_on,df2_on,df3_on
ale,ae,8.05329171,13.175860349127182,15.67717514124294,238.538,-0.249424677,1.0558172340638574,16.04240912862152,-0.979285862,0.8094274374895694,-0.872955879
ale,ah,6.0538260200153955,12.319426142401701,15.6406803,41,-0.336847712,-0.576060358,15.995441420841637,-0.212410228,-0.241480196,-0.051951917
ale,ae,8.781631701631701,12.659574909279419,15.35307132459971,151.209,0.5158929289200103,0.2626924786321272,15.714565472189278,-0.760005572,0.24613137730749912,0.022674680795599755
ale,ah,5.378011137629276,13.218205319413373,15.734625727473409,100,0.2865595247260506,0.16438201208893233,16.087249419369087,0.058038049,-0.174376604,0.17686598523377484
ale,aa,3.232807017543859,12.477110585763068,15.990671627178381,29,-0.100642764,-1.309403917,16.33340899714622,0.19047266927649797,0.10791938556870129,0.10963058126795566
ale,ae,6.982313624678662,13.01040404040404,15.762065652522017,109.219,0.1355976483473018,-0.707415706,16.10572962022466,-0.486801576,0.11954590954590927,-0.121385353
ale,eh,6.510398796087283,13.982410484437164,15.713420470540923,290,-1.428379563,1.6964451049431553,16.076412877521392,-0.348162961,-0.178098993,0.16934961256157166
ale,eh,5.912713178294574,12.677204245405127,16.782873667088374,64.141,-0.164441762,-0.262455567,17.137038446868626,-0.296338817,1.4164321182312367,0.6596557644622436
ale,iy,5.031475940153658,15.302853561729684,15.806091289615308,51,-0.486927853,-0.057030063,16.12762371700712,-0.008595681,-1.381179056,-0.027210394
ale,ah,4.7264315012305165,12.10858683926645,16.11998453,41,0.19626593831660966,-0.332171654,16.480886051558137,0.192755491,-0.816493285,-0.204402678
ale,ih,5.427777777777777,13.067125974352527,16.507338664682905,57.709,-0.041291529,-0.405757282,16.854307013646732,-0.396301838,-0.117313696,-0.082477449
ale,ah,6.177628156082631,11.469515219842165,15.57566103075983,61,0.6428314723084503,-0.550620465,15.942244931761168,0.258112025,-0.117810674,-1.724137852
ale,eh,5.975672333848531,12.854450689831374,16.541749444032614,210,0.6727581621918457,-0.668181017,16.88804658183449,-0.334949632,0.5777253492884302,-0.305250973
ale,iy,3.7176985830828677,14.244360971140631,16.509155820007436,288.225,0.23492201041475536,-0.438287451,16.83981148257281,0.5020159425258637,0.019265829682602487,-0.170056312
ale,ao,7.129999999999999,11.381332577261128,15.709169181251257,60,-0.535901523,0.042361864,16.08496038745685,-0.686768592,0.3223567431272212,-0.698223438
ale,iy,5.833463035019454,13.836807956429078,16.024808743169398,128.99,1.1158758376456346,-0.957377836,16.353961422498482,-0.04784681,-0.863366579,-0.012022499
ale,ae,5.591968503937007,13.375383104125737,16.43962546816479,69,-0.903543544,0.070099154,16.788855333093803,0.97035795,0.015826118341763618,-0.233935284
ale,aa,8.699672131,10.838448427857774,14.972145470195827,119,0.059014192241866326,-0.197107128,15.352039987009324,0.093605739,-1.753343716,-0.04151912
ale,ih,5.865236985236985,12.274776119402985,15.666467380327207,40,0.24074012989107363,-0.234888451,16.026438247820547,0.3046979554442242,-0.35989367,0.00642725
ale,ah,4.302751986616478,13.093651191969888,15.49879359868691,66.255,0.43111019557170227,-0.410370204,15.845341824740514,0.6424530478942803,-1.317542994,-0.046652655
ale,uw,3.4827765726681124,12.131480883144857,15.595250101667345,61.13,-0.118069349,-1.589341297,15.938873569330633,-0.039630115,-0.500937253,0.019517505
ale,ah,5.057221324717285,8.271912268677177,15.824846796657381,91,0.2866769121098356,-3.942884305,16.18880063540025,-0.00857486,-0.024719407,-0.31942133
ale,ah,5.014277620396601,12.915910478128179,15.862157018239492,66.352,0.5292174793762774,0.12348748018156819,16.21830960450411,0.1961153226667509,-0.071758087,0.13455531052763092
ale,iy,2.8107726663689148,13.56892114175133,15.632056737588654,59,-0.010477334,0.14617585180760706,15.97970158733902,0.27964216152164045,1.2528145756494542,0.066469239
ale,eh,6.307518053971873,10.180857843137256,15.54285247,30,0.49795046534701903,0.28103240672827745,15.938117539946578,0.47430012784630815,0.33801438241763293,0.3583997495875657
